price,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry on site,no laundry on site,w/d hookups,w/d in unit,attached garage,carport,detached garage,off-street parking,street parking
1327,1204,3,2.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
789,585,1,1.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
1576,1360,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
925,744,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1310,726,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
935,875,2,2.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
1297,1078,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1262,772,1,1.0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
1358,975,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
950,950,2,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
950,950,2,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1297,1078,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
950,950,2,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
950,950,2,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1065,790,1,1.0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0
1387,961,2,2.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
715,850,1,1.0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
1400,1395,3,2.0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1262,772,1,1.0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
1265,959,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
699,783,2,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
715,800,2,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
885,875,2,1.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
940,927,2,2.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
1447,1032,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
869,611,1,1.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
1508,1006,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
1207,787,2,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
775,624,1,1.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
915,782,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1200,900,2,2.0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
1254,1152,3,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
1085,764,1,1.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
1175,1009,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
940,675,1,1.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
1200,900,2,2.0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
1314,1152,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1075,779,2,1.5,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
999,750,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
989,732,1,1.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1300,776,1,1.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
840,610,1,1.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
805,786,0,1.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
1276,1003,2,2.0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0
897,456,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1514,903,2,2.0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0
1055,792,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
1292,1013,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
269,395,1,1.0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0
1563,1253,3,2.0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0
1250,675,2,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
269,395,1,1.0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0
269,395,1,1.0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0
1528,1006,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
209,300,0,1.0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
920,853,1,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
875,636,2,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
795,491,1,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
695,475,0,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
975,926,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1115,1144,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
1192,827,1,1.0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
870,570,1,1.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
875,982,2,2.0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
913,550,1,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
1450,800,2,1.0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0
1295,900,2,1.0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0
975,800,1,1.0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0
1297,1078,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
1232,980,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1099,800,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
725,590,1,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
268,300,0,1.0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1070,893,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
1200,772,1,1.0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1175,1105,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
1495,1146,3,2.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
679,240,0,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1469,519,1,1.0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
1192,742,1,1.0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0
1073,800,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1130,1107,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1271,938,2,2.0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
1075,965,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
1116,865,2,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
268,300,0,1.0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
1152,777,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
