,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options
347084,1327,apartment,1204,3,2.0,1,1,0,0,0,0,,
350072,789,apartment,585,1,1.0,1,1,1,0,0,0,laundry on site,carport
350355,1576,apartment,1360,2,2.0,1,1,1,0,0,0,w/d in unit,carport
350437,925,apartment,744,1,1.0,0,0,1,0,0,0,,
350728,1310,apartment,726,1,1.0,0,0,1,0,0,0,,
354167,935,apartment,875,2,2.0,1,1,0,0,0,0,laundry on site,carport
354197,1297,apartment,1078,2,2.0,0,0,1,0,0,0,,
354471,1262,apartment,772,1,1.0,1,1,1,1,0,1,w/d in unit,
354551,1358,apartment,975,2,2.0,0,0,1,0,0,0,,
354587,950,apartment,950,2,2.0,0,0,0,0,0,0,w/d in unit,off-street parking
354888,950,apartment,950,2,2.0,0,0,0,0,0,0,w/d in unit,off-street parking
354894,1297,apartment,1078,2,2.0,0,0,1,0,0,0,,
355017,950,apartment,950,2,2.0,0,0,0,0,0,0,w/d in unit,off-street parking
355464,950,apartment,950,2,2.0,0,0,0,0,0,0,w/d in unit,off-street parking
357534,1065,apartment,790,1,1.0,1,1,1,1,0,0,w/d in unit,carport
357540,1387,apartment,961,2,2.0,1,1,1,0,0,0,,
357590,715,apartment,850,1,1.0,1,1,1,1,0,1,,
357851,1400,apartment,1395,3,2.0,1,0,1,0,0,0,w/d in unit,carport
357895,1262,apartment,772,1,1.0,1,1,1,1,0,1,w/d in unit,
357908,1265,apartment,959,2,2.0,1,1,1,0,0,0,w/d in unit,carport
357967,699,apartment,783,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking
358025,715,apartment,800,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking
358077,885,apartment,875,2,1.0,1,1,1,0,0,0,laundry on site,carport
358101,940,apartment,927,2,2.0,1,1,1,0,0,0,laundry on site,
358136,1447,apartment,1032,2,2.0,0,0,1,0,0,0,,
358143,869,apartment,611,1,1.0,1,1,1,0,0,0,laundry on site,carport
358150,1508,apartment,1006,2,2.0,1,1,1,0,0,0,w/d in unit,carport
358151,1207,apartment,787,2,1.0,0,0,1,0,0,0,,
