,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options
0,1327,apartment,1204,3,2.0,1,1,0,0,0,0,no laundry on site,None
1,789,apartment,585,1,1.0,1,1,1,0,0,0,laundry on site,carport
2,1576,apartment,1360,2,2.0,1,1,1,0,0,0,w/d in unit,carport
3,925,apartment,744,1,1.0,0,0,1,0,0,0,no laundry on site,None
4,1310,apartment,726,1,1.0,0,0,1,0,0,0,no laundry on site,None
5,935,apartment,875,2,2.0,1,1,0,0,0,0,laundry on site,carport
6,1297,apartment,1078,2,2.0,0,0,1,0,0,0,no laundry on site,None
7,1262,apartment,772,1,1.0,1,1,1,1,0,1,w/d in unit,None
8,1358,apartment,975,2,2.0,0,0,1,0,0,0,no laundry on site,None
9,950,apartment,950,2,2.0,0,0,0,0,0,0,w/d in unit,off-street parking
10,950,apartment,950,2,2.0,0,0,0,0,0,0,w/d in unit,off-street parking
11,1297,apartment,1078,2,2.0,0,0,1,0,0,0,no laundry on site,None
12,950,apartment,950,2,2.0,0,0,0,0,0,0,w/d in unit,off-street parking
13,950,apartment,950,2,2.0,0,0,0,0,0,0,w/d in unit,off-street parking
14,1065,apartment,790,1,1.0,1,1,1,1,0,0,w/d in unit,carport
15,1387,apartment,961,2,2.0,1,1,1,0,0,0,no laundry on site,None
16,715,apartment,850,1,1.0,1,1,1,1,0,1,no laundry on site,None
17,1400,apartment,1395,3,2.0,1,0,1,0,0,0,w/d in unit,carport
18,1262,apartment,772,1,1.0,1,1,1,1,0,1,w/d in unit,None
19,1265,apartment,959,2,2.0,1,1,1,0,0,0,w/d in unit,carport
20,699,apartment,783,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking
21,715,apartment,800,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking
22,885,apartment,875,2,1.0,1,1,1,0,0,0,laundry on site,carport
23,940,apartment,927,2,2.0,1,1,1,0,0,0,laundry on site,None
24,1447,apartment,1032,2,2.0,0,0,1,0,0,0,no laundry on site,None
25,869,apartment,611,1,1.0,1,1,1,0,0,0,laundry on site,carport
26,1508,apartment,1006,2,2.0,1,1,1,0,0,0,w/d in unit,carport
27,1207,apartment,787,2,1.0,0,0,1,0,0,0,no laundry on site,None
28,775,apartment,624,1,1.0,1,1,1,0,0,0,laundry on site,carport
29,915,apartment,782,1,1.0,0,0,1,0,0,0,no laundry on site,None
30,1200,apartment,900,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking
31,1254,apartment,1152,3,2.0,1,1,1,0,0,0,w/d in unit,carport
32,1085,apartment,764,1,1.0,1,1,1,0,0,0,w/d in unit,None
33,1175,apartment,1009,2,2.0,1,1,1,0,0,0,w/d in unit,carport
34,940,apartment,675,1,1.0,1,1,1,0,0,0,w/d in unit,carport
35,1200,apartment,900,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking
36,1314,apartment,1152,2,2.0,0,0,1,0,0,0,no laundry on site,None
37,1075,apartment,779,2,1.5,1,1,1,0,0,0,laundry on site,carport
38,999,apartment,750,1,1.0,0,0,1,0,0,0,no laundry on site,None
39,989,apartment,732,1,1.0,1,1,0,0,0,0,no laundry on site,None
40,1300,apartment,776,1,1.0,0,0,0,0,0,0,w/d in unit,carport
41,840,apartment,610,1,1.0,1,1,1,0,0,0,laundry on site,carport
42,805,apartment,786,0,1.0,1,1,1,0,0,0,w/d in unit,carport
43,0,apartment,778,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking
44,1276,apartment,1003,2,2.0,1,1,0,1,0,0,w/d in unit,carport
45,897,apartment,456,1,1.0,0,0,1,0,0,0,no laundry on site,None
46,1514,apartment,903,2,2.0,1,1,1,0,0,0,w/d in unit,detached garage
47,1055,apartment,792,2,2.0,1,1,1,0,0,0,w/d in unit,carport
48,1292,apartment,1013,2,2.0,0,0,1,0,0,0,no laundry on site,None
49,269,apartment,395,1,1.0,1,1,1,0,0,1,laundry on site,off-street parking
50,1563,apartment,1253,3,2.0,1,1,1,1,0,0,w/d in unit,detached garage
51,1250,apartment,675,2,1.0,0,0,1,0,0,0,no laundry on site,None
52,269,apartment,395,1,1.0,1,1,1,0,0,1,laundry on site,off-street parking
53,269,apartment,395,1,1.0,1,1,1,0,0,1,laundry on site,off-street parking
54,1528,apartment,1006,2,2.0,1,1,1,0,0,0,w/d in unit,carport
55,209,apartment,300,0,1.0,1,1,0,1,0,1,laundry on site,None
56,920,apartment,853,1,1.0,1,1,1,0,0,0,no laundry on site,None
57,875,apartment,636,2,1.0,1,1,1,0,0,0,no laundry on site,None
58,795,apartment,491,1,1.0,1,1,1,0,0,0,no laundry on site,None
59,695,apartment,475,0,1.0,1,1,1,0,0,0,no laundry on site,None
60,975,apartment,926,2,2.0,0,0,1,0,0,0,no laundry on site,None
61,1115,apartment,1144,2,2.0,1,1,1,0,0,0,w/d in unit,carport
62,1192,apartment,827,1,1.0,1,1,1,1,0,0,w/d in unit,None
