,id,url,region,region_url,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,image_url,description,lat,long,state
347084,7049948990,https://phoenix.craigslist.org/cph/apa/d/phoenix-stainless-steel-kitchen/7049948990.html,phoenix,https://phoenix.craigslist.org,1327,apartment,1204,3,2.0,1,1,0,0,0,0,,,https://images.craigslist.org/00Q0Q_aSNNBGORdn0_600x450.jpg,"3BD | 2BA | 1204SQFTResidents of these beautiful one-, two-, and three-bedroom apartments in Phoenix, AZ love the newly renovated interiors. The residences in the Mountain Park area boast deluxe kitchens with stunning wood-plank flooring. The espresso cabinets and modern appliance packages create a contemporary feel. (+more) Each home is outfitted with a convenient dishwasher, an efficient glass-top stove, a microwave, and a garbage disposal. The one-, two-, and three-bedroom apartment homes at Sonoran are finished with crisp air conditioning, and select homes include a fireplace. The lofty nine-foot ceilings create a spacious feel and have fans to help keep residents comfortable all year. Enjoy peace of mind, knowing that your pets will be right alongside, enjoying your pet-friendly apartment with you. The three sparkling swimming pools will refresh you during our warmest days, and our air-conditioned fitness center will keep you on your toes no matter the season. Our location in the Ahwatukee Foothills offers plenty of year-round activities throughout the South Mountain Preserve. Shopping, school and work are all just a stoneâs throw away, allowing you to enjoy the easy life youâve been dreaming of. Weâre close to the Ahwatukee Foothills Town Center and easy access to I10 and 202. Take a look at our Photo Gallery and then schedule a tour with us, weâd love to show you around. Contact us today!Amenities Include:Ceiling FanCable & Satellite TV AvailableOn-Site MaintenanceIndividual Climate ControlWood Plank FlooringHeated Outdoor Swimming Pool & Spa2â Faux Wood BlindsSpacious Walk-In ClosetsStainless Steel Kitchen AppliancesReserved Covered ParkingSand VolleyballProfessional On-Site ManagementCall:  show contact info Equal Housing OpportunityPrices Change DailyFlexible Lease Terms",33.3215,-111.98,az
350072,7049946178,https://phoenix.craigslist.org/nph/apa/d/phoenix-accepting-waitlist-information/7049946178.html,phoenix,https://phoenix.craigslist.org,789,apartment,585,1,1.0,1,1,1,0,0,0,laundry on site,carport,https://images.craigslist.org/00K0K_g9g7zXwJ6H0_600x450.jpg,"Welcome to West 35th Apartments Stop looking and start living! West 35th Apartments is centrally located in the heart of Phoenix, right off the I-17 and Greenway Road providing convenient access to anywhere in the Valley. We are also close to Arrowhead Mall, AMC 30 Movie Theatre, Smart & Final Market as well as several restaurants. We offer worry-free living as well as a pet-friendly community near mjor employers. Whether you're relaxin at the resort style pool, barbequeing with you friends or enjoying your private balcony, West 35th Apartments has all the amenities you need. With four thoughtfully designed floor plans, you're sure to find the perfect fit for your lifestyle. Enjoy upgraded carpet, large walk-in-closets, gourmet kitchens and more.Our personal commitment is to provide each and every resident with an exceptional living experience that istailored specifically around your requests and needs.  Call Now:  show contact info  x 49OR Text 49 to  show contact info  to contact our team.Use this link for more information:http://mebmgmt.aptfeatures.com/r7at3z This is a 1 Bedroom, 1 Bath, approximately 585 Sq. Ft. Features - Window Coverings  - Carpeting  - Ceiling Fan  - Extra Storage  - Refrigerator  - Dishwasher  - Large Closets  - View  - Electronic Thermostat  - Patio/Balcony  - Disposal  - Cable Ready  - Air Conditioner Community Amenities - High Speed Internet  - Clubhouse  - Controlled Access/Gated  - On-Site Maintenance  - Courtyard  - Short Term Lease  - Carport  - Media Room  - Spa/Hot Tub  - Pool  - Covered Parking  - Laundry Facilities  - Availability 24 Hours  - BBQ/Picnic Area  - Package Receiving  - Business Center Pet Policy Pets - Max 2 allowed, Max weight 50 lb each, Rent $25.00, Deposit $300.00 Income Requirements: 2.5X the monthly amountOffice Hours Monday thru Friday 9am - 6pmSaturday - 10am - 4pmSunday - CLOSED West 35th Apartments 15615 N. 35th Ave, Phoenix, AZ, 85053Equal Housing Opportunity m6CqgbImJ",33.626999999999995,-112.134,az
350355,7049946052,https://phoenix.craigslist.org/nph/apa/d/scottsdale-hardwood-floors-clubhouse/7049946052.html,phoenix,https://phoenix.craigslist.org,1576,apartment,1360,2,2.0,1,1,1,0,0,0,w/d in unit,carport,https://images.craigslist.org/00l0l_73EineVmVDR_600x450.jpg,"La Privada at Scottsdale Ranch 10255 East Via Linda, Scottsdale, AZ, 85258  Want more info on this unit? See the link (below): http://leasing.amcllc.net/2u6551  Call Now:  show contact info  x 50 OR Text 50 to  show contact info  to contact our leasing team.   This is a 2 Bedroom, 2 Bath, approximately 1363 Sq. Ft.   Welcome to La Privada at Scottsdale Ranch Apartments in Scottsdale, Arizona! Experience life at La Privada, where elegant Spanish architecture and tranquility intertwine to create an atmosphere of timeless living.   Set within 40 acres of lush landscaping, the La Privada community was designed with you in mind. Even though our community is in a relaxed location, we're just minutes away from many shopping, dining, and movie choices. We are just across the way from Scottsdale Ranch Park, and close to several golfing and country club options.   Come experience luxury living at our convenient location! Check out our floorplans to see all we have to offer.   Features - Hardwood Floors  - High Speed Internet Access  - Cable Ready  - Refrigerator  - Air Conditioning  - Patio Deck  - Dishwasher  - Microwave  - Wireless Internet Access  - Washer and Dryer in Unit  - Oversized Closets  - Vaulted Ceilings  - Disposal  - Stove  - Balcony  - New/Renovated Interior  - Fireplace  - Ceiling Fan(s)   Community Amenities - Hot Tub  - Patio/Balcony  - Private Gated Entry  - Pool  - Walk-In Closets  - Deck  - Business Center  - Tennis Court(s)  - 24-Hour Maintenance  - Clubhouse  - Garage  - Fitness Center  - Central Air  - Outdoor Picnic Area    Office Hours Monday-Friday:9:00AM-6:00PM Saturday-Sunday:10:00AM-5:00PM   Pet Policy Fee: $35.58 monthly rent per pet. Deposit: $400 per pet. Restrictions: Two pets maximum. Breed restrictions apply.  Prices are subject to change, based on availability and qualification of the applicant, additional fees may apply.  Equal Housing Opportunity    fevZn2bKQ",33.5758,-111.861,az
350437,7046289871,https://phoenix.craigslist.org/evl/apa/d/mesa-pet-friendly-with-dog-park-on-line/7046289871.html,phoenix,https://phoenix.craigslist.org,925,apartment,744,1,1.0,0,0,1,0,0,0,,,https://images.craigslist.org/00h0h_16SPnN4F184_600x450.jpg,"Our distinctive 1, & 2 bedroom apartments are positioned less than a half mile south of the Fiesta District; the focus of Mesa's Southwest Redevelopment bringing over 1000 new jobs to the area as well as the integrated education and healthcare campus of the $30 million redevelopment of the Fiesta Mall. Wood-style plank flooring, wood-burning fireplaces and beautifully decorated kitchens are added touches we provide giving the Del Coronado Apartments the edge on exceptional living. Ever-increasing prosperity, a rich and diverse cultural scene, world-class employers, medical facilities, universities and colleges, and unlimited recreational activities, all culminate to create an unparalleled quality of life in Mesa, Arizona. The Mesa Arts Center (MAC) is home to four theaters and five art galleries and ""The Cactus League"" is home to some for Baseball's Spring Training. Forbes has ranked Mesa as one of the best cities for bicycle enthusiasts providing a vibrant and cultural lifestyle to this area. A host a multitude of festivals and events throughout the year create a high quality of life. Contact one of our representatives today to schedule your private tour and to learn how the Del Coronado Apartments can become your new home.  -Ceramic Tiled Baths -Vertical Blinds -Built-in Desks & Entertainment Shelving -Complimentary WiFi - Amenity Locations -On-line Maintenance Requests -Playground -Pet Friendly with Dog Park -Wood-Style Plank Flooring -Two Spas -Modern Fitness Center with 24-hour Access -Free Weights -Additional Outdoor Storage  Call:  show contact info   **Prices, availability, features, specifications and amenities are subject to change without notice. Please contact phone number for more information. **Equal Housing Opportunity",33.4003,-111.866,az
350728,7049635507,https://phoenix.craigslist.org/evl/apa/d/mesa-public-parks-nearby-extra-storage/7049635507.html,phoenix,https://phoenix.craigslist.org,1310,apartment,726,1,1.0,0,0,1,0,0,0,,,https://images.craigslist.org/00D0D_vYS6Gkrx53_600x450.jpg,"Call Now -  show contact info  x 3OR Text 3 to  show contact info  to text our team directly. This is a 1 Bedroom, 1 Bath, approximately 726 Sq. Ft.  Here at The Springs at Alta Mesa, we're proud to offer a wide range of stunning floor plans that include large one, two, and three bedroom homes that are sure to fit your needs. Our apartments feature all electric kitchens, ceiling fans, and private balconies offering spectacular views of Arizona's stunning landscapes. All homes are also built with able TV and are high speed internet ready. Coming home has never been more enjoyable.  Features: 9Ft Ceilings, Spacious Walk In Closet, Breakfast Bar and Pantry*, Private Balconies and Patios, Mirrored Closet Doors, Cable Ready, Ceiling Fans, Hardwood Floors*, Cozy Gas Fireplace*, Air Conditioning, Full Sized W/D, Dishwasher, Designer Ceramic Tile Throughout, Built-In Microwave, Refrigerator with Built-In Ice Makers, Extra Storage, Disposal, Security Alarm, Roman Style Bathtubs  Community Amenities: Fitness Center, Professionally Managed by On-Site Staff, Soothing Spa/Hot Tubs, 24 Hour Emergency Maintenance, Courtyard, Tot Lot, Executive Business Center, Covered Parking, Access To Public Transportation, Detached Garage*, Controlled Access/Grated, Picnic Area with Barbecue, Two Shimmering Swimming Pools, Elegant Clubhouse, Complimentary Java Bar, Sauna, Public Parks Nearby, Complimentary DVD Library, Fax and Copier, Package Receiving, Guest Parking, Online Rent Payment and Maintenance Requests via Resident App, Racquetball Court, High Speed Internet Access, Movie Theater, Wi-Fi Clubhouse and Pool  Pet Policy: Pets - Max 2 allowed, One time Fee $250.00, Rent $35.00, Deposit $100.00Comments: We are a pet friendly community. Cats and dogs are welcome up to a limit of 2 per apartment home, however the following breeds are restricted: American Staffordshire Terriers, Staffordshire Bull Terriers, Rottweilers, Cane Corso, Presa Canarios, Bull Mastiffs, Wolf Hybrids. Proof of spay or neuter and up to date vaccines are required for pet approval. Want more info? See the link below:http://CapitalRealEstate.touraptnow.com/8s73t8Equal Housing Opportunity nB61mNKzC",33.4497,-111.719,az
352322,7046929945,https://phoenix.craigslist.org/evl/apa/d/mesa-4-bed-2-bath-house-for-rent-north/7046929945.html,phoenix,https://phoenix.craigslist.org,1599,house,1500,4,2.0,1,1,1,1,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00X0X_kPIxedADSfW_600x450.jpg,"4 Bed 2 Bath house for rent in north west Mesa.  This house is close to downtown Mesa, Mesa Riverview, and the Cubs and Aâs facilities.  It is close to the 101 and 202 freeways for a quick commute to Scottsdale, Tempe, Phoenix, Chandler and Gilbert.  Call  show contact info .",33.4298,-111.844,az
353367,7042217989,https://phoenix.craigslist.org/nph/apa/d/phoenix-clean-3-bed-2-bath-housefenced/7042217989.html,phoenix,https://phoenix.craigslist.org,1599,house,1100,3,2.0,1,1,1,0,0,0,w/d hookups,carport,https://images.craigslist.org/01515_1Ejoe6BnKMQ_600x450.jpg,"--Very clean 3 bed 2 bath house with a fenced yard in the north central corridor of Phoenix.  This house is in a great location, close to downtown, Camelback area, and I-17 for an easy commute.  The home has been very well cared for and has a large fenced backyard with an RV gate.  Call  show contact info .",33.5634,-112.111,az
354167,7049537037,https://phoenix.craigslist.org/evl/apa/d/mesa-2-bed-2-bath-mesa-no-credit-check/7049537037.html,phoenix,https://phoenix.craigslist.org,935,apartment,875,2,2.0,1,1,0,0,0,0,laundry on site,carport,https://images.craigslist.org/01515_64eqTEj3i1h_600x450.jpg,"No Credit Check, No App Fee, Immed Move In.  To schedule a tour visit http://sched.mesaterrace.net  Pricing and availability can be found at http://rent.mesaterrace.net  2 bedroom, 2 bathroom condo for rent in Mesa by Stapley and Brown.  Onsite laundry and covered parking.  All fund required for move-in, no partial payments.",33.4319,-111.803,az
354197,7047032521,https://phoenix.craigslist.org/wvl/apa/d/sun-city-west-easy-online-rent-payments/7047032521.html,phoenix,https://phoenix.craigslist.org,1297,apartment,1078,2,2.0,0,0,1,0,0,0,,,https://images.craigslist.org/00D0D_1he7jNS3wNf_600x450.jpg,"The importance of unrivaled amenities is key to the art of living well at Canyon Ridge. These apartments Surprise, AZ have to offer provide wide open living spaces, modern conveniences, and incredible design accents. Double stainless steel sinks, spacious countertops and plenty of cabinet space make cooking a breeze and clean-up quick and easy. Modern light fixtures and accessories are a welcome staple, along with a private patio or balcony, and large walk-in closets for all of your storage needs. On property, youâll find pristine landscaping and beautiful conveniences to enjoy on a daily basis. Enjoy the on-site sparkling pool and spa to cool off and unwind under the hot Arizona sun, prepare an indulgent meal at the top-notch community grilling space complete with picnic tables, or visit the fitness center for a worthy morning workout to invigorate your body. If you think these luxury apartments in Surprise, AZ are the right match for you, please reach out to learn more.  -Clubhouse -Easy Access to Loop 101 and 303 -Linen Closets -Large Soaking Bathtubs -Located Near Bell Mar Plaza -Walk In Closets -Updater Free Moving Concierge -In Home Washer and Dryer -Community Business Center -Private Patio or Balcony -White Kitchen Appliances with Marbled Countertops -Spacious 1, 2 & 3 Bedroom Floorplans -Green Landscaping Provides Abundant Shaded Areas -Easy Online Rent Payments -Resident Events and Activities -Updated Lighting -Sparkling Heated Pool and Spa -Submit Service Requests Online -BBQ Grilling Stations and Picnic Tables -Large Windows add Natural Light  Phone us at  show contact info   For more information, visit us at www.Canyon-Ridge.com  Equal Housing Opportunity Prices and Availability are Subject to Change Without Notice",33.6416,-112.304,az
354444,7049521839,https://phoenix.craigslist.org/wvl/apa/d/surprise-4-bedroom-2-baths-nice/7049521839.html,phoenix,https://phoenix.craigslist.org,1275,house,1840,3,2.5,1,0,1,0,0,0,,,https://images.craigslist.org/00b0b_hVPT7pEhZv3_600x450.jpg,"Cracker Creek runs through it all!  Great all year round residence or recreational retreat. 4 bedrooms, 1 bath.  Spacious loft. Great room concept. Tile shower. Protected rear deck and fire pit. Arlington Youngtown Avondale Goodyear",33.6306,-112.333,az
